                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.81685,                 1.6686,                 1.1445,                0.73658,                   0.85,                0.91026,                0.71559,                 1.3053,                 1.0786,                 1.2356,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.84043,                 1.9106,                 1.2424,                0.67868,                   0.85,                0.91128,                0.70742,                 1.3083,                 1.0834,                 1.2352,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.93528,                 1.3333,                 1.2939,                0.65835,                   0.85,                0.91201,                0.69886,                 1.3206,                 1.1087,                  1.243,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2209,                 2.4383,                 1.5802,                0.63797,                   0.85,                0.90856,                0.70148,                 1.3159,                 1.1328,                 1.2434,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.63761,                 1.2877,                 1.0728,                0.62791,                   0.85,                0.90825,                0.70113,                 1.3051,                 1.1518,                 1.2367,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.80579,                  1.743,                  1.232,                0.64139,                   0.85,                0.89973,                0.68998,                 1.2976,                 1.1562,                 1.2332,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.95612,                 1.0251,                 1.3504,                0.66343,                   0.85,                0.88342,                0.67259,                 1.3061,                 1.1574,                 1.2347,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.73646,                 1.1517,                 1.2772,                0.66343,                   0.85,                0.88342,                0.67259,                 1.3061,                 1.1574,                 1.2347,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 0.9855,                 2.1756,                 1.3674,                0.67412,                0.76667,                0.86839,                0.66573,                 1.2951,                 1.1903,                 1.2308,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.76755,                  1.185,                 1.2478,                0.67412,                0.76667,                0.86839,                0.66573,                 1.2951,                 1.1903,                 1.2308,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.87948,                  1.068,                 1.2267,                0.68667,                0.76667,                0.86751,                0.66066,                 1.2913,                 1.2224,                 1.2277,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 0.9228,                 1.2055,                 1.3783,                0.68667,                0.76667,                0.86751,                0.66066,                 1.2913,                 1.2224,                 1.2277,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.87556,                 1.1661,                 1.2133,                0.65862,                0.76667,                0.87539,                0.66515,                 1.2855,                 1.2517,                 1.2299,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.81764,                 1.5058,                 1.1868,                0.65862,                0.76667,                0.87539,                0.66515,                 1.2855,                 1.2517,                 1.2299,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.92334,                 1.0609,                 1.2899,                0.61011,                   0.85,                0.87919,                0.66547,                 1.3029,                 1.2646,                 1.2373,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.96862,                0.89879,                 1.3882,                0.61011,                   0.85,                0.87919,                0.66547,                 1.3029,                 1.2646,                 1.2373,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 0.6967,                0.84069,                 1.0752,                0.60002,                   0.85,                0.87174,                0.66322,                 1.3118,                 1.2962,                 1.2424,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.78435,                0.89158,                  1.109,                0.60002,                   0.85,                0.87174,                0.66322,                 1.3118,                 1.2962,                 1.2424,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.73012,                0.81949,                 1.1119,                0.61468,                   0.85,                0.87896,                0.66524,                 1.3129,                  1.338,                 1.2505,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.62316,                0.91242,                 1.1997,                0.61468,                   0.85,                0.87896,                0.66524,                 1.3129,                  1.338,                 1.2505,             2.4602e-05,             2.4602e-05,             2.4602e-05
